Index Number,Volume,Title,Notes,,,,,,
00338,Vol. 9,"San Leandro Savings Bank, Callan and East 14th Street",,,,,,,
00339,Vol. 9,"Parade in Haywards, with the 'Biggest Flag in California' - 50 Feet Long.",,,,,,,
00340,Vol. 9,"Grocery Store near the Plaza, possibly Borman's",,,,,,,
00341,Vol. 9,Captain Eddie Rickenbacker at the Oakland Airport (in its former location) showing an old biplane,,,,,,,
00342,Vol. 9,"City Plaza in 1906, I.O.O.F. in background.",,,,,,,
00343,Vol. 9,"C. C. Young, Governor of California, addressing a dinner at the American Legion Hall, SW corner of Washington and Ward, in 1926",,,,,,,
00344,Vol. 9,"Masonic Temple, Joaquin and East 14th Street",,,,,,,
00345,Vol. 9,Pupils at St. Mary's School,,,,,,,
00346,Vol. 9,Sant Mary's School,,,,,,,
00347,Vol. 9,Five Ladder Fire Truck manufactured in San Leandro and sold to the City of San Francisco,,,,,,,
00348,Vol. 9,"Washington Market, West Joaquin and East 14th Street",,,,,,,
00349,Vol. 9,"Harvesting Peas in Mulford Garden, about 1920",,,,,,,
00350,Vol. 9,"George Mendonca, Marina Arthur Mendonca on the left",,,,,,,
00351,Vol. 9,Fire Department's Number Three,,,,,,,
00352,Vol. 9,"San Leandro Ball Club at the Ball Park, San Leandro Blvd. Between Juans and Parrot",,,,,,,
00353,Vol. 9,"Isabelle Simas Vierra with Players at the Ball Park during Chamber of Commerce Week, ca April 1-4",,,,,,,
00354,Vol. 9,Fairmont Hospital,,,,,,,
00355,Vol. 9,"Castro Street Looking East, about 1925",,,,,,,
00356,Vol. 9,"Class Picture, Union (Lincoln) School",,,,,,,
00357,Vol. 9,Firemen and Equipment in the 1930's,,,,,,,
00358,Vol. 9,Street Scene showing John Gorman's 'Old Corner' Liquor Store and Harness Making Shop that may have been William Reid's,,,,,,,
00359,Vol. 9,"Joe Silverose, Fred Noia and Bud Eber on Estudillo",,,,,,,
00360,Vol. 9,"Estudillo Avenue, 1915",,,,,,,
00361,Vol. 10,"Plaza Restaurant, SE Corner of Washington and Estudillo Taken between 1909 and 1911",,,,,,,
00362,Vol. 10,Laying Ties for Western Pacific Railroad in Yard Located at W. Estudillo and Martinez,,,,,,,
00363,Vol. 10,Participants in Cherry Carnival Parade,,,,,,,
00364,Vol. 10,Baking Powder Can from Skillen House,,,,,,,
00365,Vol. 10,"San Leandro Plaza, ca 1968",,,,,,,
00366,Vol. 10,"Program, San Leandro Cherry Festival, 1909",,,,,,,
00367,Vol. 10,San Leandro Hotel ,,,,,,,
00368,Vol. 10,Casa Peralta,,,,,,,
00369,Vol. 10,Laying Ties for Western Pacific  ,,,,,,,
00370,Vol. 10,St. Leander's Church,,,,,,,
00371,Vol. 10,Cherry Festival Parade,,,,,,,
00372,Vol. 10,Group on Estudillo,,,,,,,
00373,Vol. 10,Cherry Festival,,,,,,,
00374,Vol. 10,Picnic Taken in 1890,,,,,,,
00375,Vol. 10,"Central Restaurant and Grocery, 1896",,,,,,,
00376,Vol. 10,Tony B. Thomas' Building,,,,,,,
00377,Vol. 10,"Cannon at Plaza, 1918",,,,,,,
00378,Vol. 10,"New San Leandro Plaza, 1968",,,,,,,
00379,Vol. 10,"Beach Outing, 1920",,,,,,,
00380,Vol. 10,"Cherry Carnival in Plaza, 1921",,,,,,,
00381,Vol. 10,"Bud Eber's Meat Market, 1909",,,,,,,
00382,Vol. 10,Bud Eber's Meat Market ,,,,,,,
00383,Vol. 10,"Marshal Geisenhofer, 1894",,,,,,,
00384,Vol. 10,"Historical Landmark Committee, 1966",,,,,,,
00385,Vol. 10,"Historical Landmark Committee Meeting, 1966",,,,,,,
00386,Vol. 10,"Historical Landmark Committee Picnic, 1966",,,,,,,
00387,Vol. 10,"Don Sherwood (KSFO) Broadcast, 1965",,,,,,,
00388,Vol. 10,"Don Sherwood (KSFO) Broadcast, 1965",,,,,,,
00389,Vol. 10,"S. L. Fire Dept. Equipment, 1965",,,,,,,
00390,Vol. 10,"Boat, Monterey Hull, 1960",,,,,,,
00391,Vol. 10,"Albert V. Gillock, ca 1967",,,,,,,
00392,Vol. 10,"Aerial View of San Leandro, ca 1960",,,,,,,
00393,Vol. 10,"Aerial View of San Leandro, ca 1960",,,,,,,
00394,Vol. 10,"Aerial View of San Leandro, ca 1960",,,,,,,
00395,Vol. 10,"Lincoln School Class, ca 1920",,,,,,,
00396,Vol. 10,"Vegetable Wagon, 1890",,,,,,,
00397,Vol. 10,"Beach, Foot of Davis St. ca 1920",,,,,,,
00398,Vol. 10,"Antone Silva Family, 1921",,,,,,,
